Exercise ID,Exercise Name,Type,Difficulty,Muscle Group,Retrievals
1,triceps dip,Strength,Intermediate,Triceps,0
2,decline ez-bar skullcrusher,Strength,Intermediate,Triceps,0
3,dumbbell floor press,Powerlifting,Intermediate,Triceps,0
4,cable v-bar push-down,Strength,Intermediate,Triceps,0
5,weighted bench dip,Strength,Intermediate,Triceps,0
6,ez-bar skullcrusher,Strength,Intermediate,Triceps,0
7,reverse grip triceps pushdown,Strength,Intermediate,Triceps,0
8,push-ups - close triceps position,Strength,Intermediate,Triceps,0
9,kneeling cable triceps extension,Strength,Intermediate,Triceps,0
10,single-arm cable triceps extension,Strength,Intermediate,Triceps,0
11,landmine twist,Strength,Intermediate,Abdominals,0
12,elbow plank,Strength,Intermediate,Abdominals,0
13,bottoms up,Strength,Intermediate,Abdominals,0
14,suspended ab fall-out,Strength,Intermediate,Abdominals,0
15,dumbbell v-sit cross jab,Strength,Intermediate,Abdominals,0
16,standing cable low-to-high twist,Strength,Intermediate,Abdominals,0
17,dumbbell spell caster,Strength,Beginner,Abdominals,0
18,decline reverse crunch,Strength,Intermediate,Abdominals,23
19,spider crawl,Strength,Intermediate,Abdominals,23
20,cocoons,Strength,Intermediate,Abdominals,0
21,hip circles (prone),Stretching,Intermediate,Abductors,0
22,standing hip circles,Stretching,Beginner,Abductors,1
23,clam,Strength,Intermediate,Abductors,1
24,iliotibial band smr,Stretching,Intermediate,Abductors,1
25,thigh abductor,Strength,Intermediate,Abductors,1
26,fire hydrant,Strength,Beginner,Abductors,0
27,windmills,Stretching,Intermediate,Abductors,1
28,monster walk,Strength,Intermediate,Abductors,0
29,it band and glute stretch,Stretching,Intermediate,Abductors,1
30,single-leg lying cross-over stretch,Stretching,Beginner,Abductors,24
31,thigh adductor,Strength,Intermediate,Adductors,26
32,groiners,Stretching,Beginner,Adductors,26
33,band hip adductions,Strength,Beginner,Adductors,26
34,side leg raises,Stretching,Beginner,Adductors,26
35,lateral hop,Plyometrics,Intermediate,Adductors,31
36,groin and back stretch,Stretching,Beginner,Adductors,4
37,adductor smr,Stretching,Beginner,Adductors,4
38,side lying groin stretch,Stretching,Intermediate,Adductors,24
39,adductor/groin,Stretching,Beginner,Adductors,3
40,lying bent leg groin,Stretching,Beginner,Adductors,23
41,incline hammer curls,Strength,Beginner,Biceps,14
42,wide-grip barbell curl,Strength,Beginner,Biceps,14
43,ez-bar spider curl,Strength,Intermediate,Biceps,14
44,hammer curls,Strength,Intermediate,Biceps,0
45,ez-bar curl,Strength,Intermediate,Biceps,0
46,zottman curl,Strength,Intermediate,Biceps,2
47,biceps curl to shoulder press,Strength,Beginner,Biceps,0
48,barbell curl,Strength,Intermediate,Biceps,0
49,concentration curl,Strength,Intermediate,Biceps,1
50,flexor incline dumbbell curls,Strength,Beginner,Biceps,1
51,smith machine calf raise,Strength,Intermediate,Calves,1
52,standing calf raises,Strength,Beginner,Calves,1
53,seated calf raise,Strength,Intermediate,Calves,2
54,calf press on the leg press machine,Strength,Intermediate,Calves,7
55,rocking standing calf raise,Strength,Beginner,Calves,7
56,calf press,Strength,Beginner,Calves,0
57,standing barbell calf raise,Strength,Beginner,Calves,1
58,barbell seated calf raise,Strength,Beginner,Calves,1
59,balance board,Strength,Beginner,Calves,1
60,weighted donkey calf raise,Strength,Intermediate,Calves,0
61,dumbbell bench press,Strength,Intermediate,Chest,0
62,pushups,Strength,Intermediate,Chest,0
63,close-grip bench press,Strength,Intermediate,Chest,0
64,dumbbell flyes,Strength,Intermediate,Chest,0
65,incline dumbbell bench press,Strength,Intermediate,Chest,0
66,low-cable cross-over,Strength,Intermediate,Chest,0
67,barbell bench press - medium grip,Strength,Intermediate,Chest,0
68,chest dip,Strength,Intermediate,Chest,0
69,decline dumbbell flyes,Strength,Intermediate,Chest,0
70,bodyweight flyes,Strength,Beginner,Chest,10
71,rickshaw carry,Strongman,Beginner,Forearms,15
72,palms-down wrist curl over bench,Strength,Intermediate,Forearms,13
73,straight-bar wrist roll-up,Strength,Intermediate,Forearms,13
74,dumbbell farmer's walk,Strongman,Intermediate,Forearms,13
75,palms-up wrist curl over bench,Strength,Intermediate,Forearms,13
76,standing behind-the-back wrist curl,Strength,Beginner,Forearms,10
77,seated finger curl,Strength,Beginner,Forearms,8
78,seated two-arm palms-up low-pulley wrist curl,Strength,Beginner,Forearms,8
79,wrist roller,Strength,Beginner,Forearms,4
80,seated one-arm dumbbell palms-up wrist curl,Strength,Beginner,Forearms,2
81,barbell glute bridge,Powerlifting,Intermediate,Glutes,2
82,barbell hip thrust,Powerlifting,Intermediate,Glutes,2
83,single-leg cable hip extension,Strength,Intermediate,Glutes,0
84,glute bridge,Strength,Intermediate,Glutes,0
85,single-leg glute bridge,Strength,Intermediate,Glutes,0
86,step-up with knee raise,Strength,Intermediate,Glutes,1
87,kettlebell thruster,Strength,Intermediate,Glutes,1
88,kneeling squat,Powerlifting,Beginner,Glutes,3
89,flutter kicks,Strength,Intermediate,Glutes,2
90,glute kickback,Strength,Beginner,Glutes,4
91,barbell deadlift,Strength,Intermediate,Hamstrings,4
92,romanian deadlift with dumbbells,Strength,Beginner,Hamstrings,3
93,clean deadlift,Olympic Weightlifting,Beginner,Hamstrings,3
94,sumo deadlift,Powerlifting,Beginner,Hamstrings,2
95,romanian deadlift from deficit,Olympic Weightlifting,Beginner,Hamstrings,2
97,power clean from blocks,Olympic Weightlifting,Beginner,Hamstrings,0
98,natural glute ham raise,Strength,Beginner,Hamstrings,0
99,glute ham raise,Strength,Beginner,Hamstrings,0
100,snatch deadlift,Olympic Weightlifting,Beginner,Hamstrings,2
101,weighted pull-up,Strength,Intermediate,Lats,0
102,pullups,Strength,Intermediate,Lats,0
103,rocky pull-ups/pulldowns,Strength,Beginner,Lats,0
104,close-grip pull-down,Strength,Intermediate,Lats,0
105,pull-up,Strength,Beginner,Lats,0
106,muscle up,Strength,Intermediate,Lats,0
107,shotgun row,Strength,Intermediate,Lats,0
108,close-grip front lat pulldown,Strength,Intermediate,Lats,0
109,v-bar pull-up,Strength,Intermediate,Lats,0
110,rope climb,Strength,Intermediate,Lats,3
111,atlas stones,Strongman,Intermediate,Lower Back,5
112,barbell deficit deadlift,Powerlifting,Beginner,Lower Back,5
113,back extension,Strength,Intermediate,Lower Back,5
114,axle deadlift,Strongman,Beginner,Lower Back,4
115,hyperextensions with no hyperextension bench,Strength,Beginner,Lower Back,4
116,deadlift with bands,Powerlifting,Beginner,Lower Back,1
117,deadlift with chains,Powerlifting,Beginner,Lower Back,0
118,rack pull with bands,Powerlifting,Beginner,Lower Back,0
119,superman,Stretching,Intermediate,Lower Back,0
120,t-bar row with handle,Strength,Intermediate,Middle Back,0
121,reverse-grip bent-over row,Strength,Intermediate,Middle Back,0
122,one-arm dumbbell row,Strength,Intermediate,Middle Back,0
123,one-arm long bar row,Strength,Intermediate,Middle Back,0
124,t-bar row,Strength,Intermediate,Middle Back,0
125,bent over two-arm long bar row,Strength,Intermediate,Middle Back,0
126,alternating sit-through with crunch,Strength,Intermediate,Middle Back,0
127,rower,Cardio,Intermediate,Middle Back,0
128,seated cable rows,Strength,Intermediate,Middle Back,0
129,incline dumbbell row,Strength,Intermediate,Middle Back,0
130,lying face down plate neck resistance,Strength,Beginner,Neck,0
131,lying face up plate neck resistance,Strength,Beginner,Neck,0
132,seated head harness neck resistance,Strength,Beginner,Neck,0
133,isometric neck exercise - sides,Strength,Beginner,Neck,0
134,isometric neck exercise - front and back,Strength,Beginner,Neck,0
