User ID,Age,Gender,Height (cm),Weight (kg),Fitness Level
1,36,Female,178,60,Intermediate
2,36,Female,171,55,Advanced
3,49,Female,155,89,Intermediate
4,25,Male,171,107,Beginner
5,27,Female,169,50,Beginner
6,37,Male,177,114,Intermediate
7,36,Female,174,64,Intermediate
8,48,Male,189,147,Beginner
9,23,Female,150,66,Beginner
10,51,Female,157,53,Beginner
11,61,Male,187,68,Intermediate
12,45,Female,161,50,Advanced
13,52,Male,199,90,Intermediate
14,46,Female,167,56,Advanced
15,64,Male,169,89,Intermediate
16,46,Male,166,66,Beginner
17,57,Female,171,96,Intermediate
18,31,Male,165,91,Beginner
19,59,Male,168,85,Intermediate
20,49,Female,176,47,Beginner
21,37,Male,197,89,Intermediate
22,26,Female,177,79,Beginner
23,25,Female,153,89,Intermediate
24,50,Female,179,42,Beginner
25,53,Male,185,74,Beginner
26,28,Female,174,90,Beginner
27,36,Male,175,114,Beginner
28,49,Male,170,144,Beginner
29,58,Female,160,92,Intermediate
30,41,Male,195,109,Intermediate
31,49,Female,171,76,Beginner
32,32,Female,152,44,Beginner
33,30,Female,163,91,Beginner
34,59,Male,180,74,Advanced
35,41,Female,179,97,Intermediate
36,25,Female,164,78,Intermediate
37,48,Male,181,148,Beginner
38,26,Male,179,102,Intermediate
39,58,Female,158,67,Beginner
40,46,Male,193,90,Intermediate
41,35,Male,176,60,Beginner
42,37,Female,168,62,Beginner
43,29,Male,189,79,Advanced
44,61,Male,199,91,Intermediate
45,59,Male,196,129,Beginner
46,27,Male,193,76,Beginner
47,19,Male,198,82,Beginner
48,46,Male,174,80,Advanced
49,48,Male,167,114,Intermediate
50,22,Male,200,149,Beginner
51,20,Male,167,79,Beginner
52,62,Male,196,113,Beginner
53,61,Female,164,84,Intermediate
54,30,Female,152,90,Beginner
55,45,Male,163,91,Advanced
56,42,Male,160,69,Intermediate
57,61,Female,179,69,Intermediate
58,35,Male,174,83,Intermediate
59,38,Male,186,76,Intermediate
60,57,Female,178,68,Intermediate
61,24,Male,183,108,Intermediate
62,42,Male,172,81,Beginner
63,24,Female,176,66,Beginner
64,39,Female,163,75,Intermediate
65,53,Female,158,76,Advanced
66,63,Female,158,65,Advanced
67,21,Female,159,81,Beginner
68,54,Male,187,89,Intermediate
69,36,Female,162,58,Intermediate
70,53,Female,179,69,Beginner
71,22,Female,166,72,Advanced
72,39,Male,170,84,Intermediate
73,37,Female,172,62,Intermediate
74,34,Male,196,101,Beginner
75,50,Female,164,75,Advanced
76,33,Male,174,90,Intermediate
77,49,Female,180,70,Intermediate
78,35,Female,165,55,Beginner
79,43,Female,151,68,Advanced
80,64,Male,184,79,Intermediate
81,25,Female,152,56,Beginner
82,53,Male,181,71,Intermediate
83,65,Female,178,77,Beginner
84,61,Male,181,76,Beginner
85,26,Male,167,111,Advanced
86,19,Male,188,94,Intermediate
87,34,Female,176,66,Intermediate
88,56,Female,172,69,Advanced
89,32,Female,174,64,Advanced
90,21,Female,175,65,Intermediate
91,47,Female,159,69,Advanced
92,41,Male,179,109,Intermediate
93,41,Female,158,72,Advanced
94,19,Female,173,82,Beginner
95,19,Female,174,65,Beginner
96,19,Female,171,71,Beginner
97,51,Female,161,80,Advanced
98,60,Female,172,62,Beginner
99,22,Male,180,117,Advanced
100,48,Female,179,82,Beginner
101,51,Male,178,103,Intermediate
102,39,Male,167,86,Intermediate
103,51,Male,175,75,Beginner
104,19,Female,157,60,Beginner
105,41,Female,165,76,Intermediate
106,21,Male,164,93,Intermediate
107,48,Female,170,85,Advanced
108,26,Female,177,67,Advanced
109,56,Female,165,87,Intermediate
110,21,Female,177,85,Intermediate
111,36,Male,185,118,Beginner
112,36,Female,174,76,Beginner
113,22,Male,180,74,Beginner
114,64,Male,166,63,Beginner
115,19,Female,166,56,Intermediate
116,34,Male,185,102,Beginner
117,55,Male,189,84,Beginner
118,33,Male,194,84,Intermediate
119,60,Male,178,68,Intermediate
120,59,Female,165,71,Intermediate
121,39,Male,166,89,Advanced
122,42,Female,151,89,Beginner
123,47,Male,170,112,Advanced
124,37,Male,174,90,Beginner
125,24,Male,187,77,Beginner
126,55,Male,181,71,Intermediate
127,22,Female,172,87,Beginner
128,18,Female,172,67,Advanced
129,18,Male,199,117,Intermediate
130,39,Male,167,108,Beginner
131,45,Male,191,116,Advanced
132,23,Male,184,107,Intermediate
133,53,Female,166,56,Beginner
134,61,Female,175,69,Advanced
135,64,Female,150,62,Intermediate
136,42,Male,163,106,Intermediate
137,28,Male,192,82,Intermediate
138,44,Female,179,78,Beginner
139,51,Male,197,102,Intermediate
140,37,Female,180,70,Beginner
141,62,Male,176,114,Beginner
142,47,Female,152,64,Beginner
143,54,Female,173,63,Intermediate
144,48,Male,178,68,Advanced
145,62,Female,158,53,Intermediate
146,58,Female,157,47,Beginner
147,26,Male,196,86,Advanced
148,24,Male,179,96,Beginner
149,27,Female,178,68,Beginner
150,61,Female,158,48,Intermediate
151,58,Female,172,72,Intermediate
152,46,Male,182,96,Advanced
153,36,Male,167,76,Beginner
154,23,Male,178,100,Advanced
155,31,Female,152,57,Intermediate
156,20,Male,181,112,Advanced
157,32,Male,173,102,Intermediate
158,48,Female,157,83,Beginner
159,28,Female,164,54,Beginner
160,43,Female,159,67,Beginner
161,50,Female,180,70,Intermediate
162,50,Male,178,68,Advanced
163,62,Male,165,69,Intermediate
164,44,Female,153,73,Beginner
165,56,Female,163,90,Intermediate
166,51,Male,194,84,Beginner
167,55,Female,180,70,Advanced
168,21,Male,195,109,Beginner
169,27,Male,160,84,Advanced
170,25,Female,173,63,Advanced
171,23,Female,171,65,Advanced
172,55,Female,159,49,Beginner
173,32,Female,158,68,Advanced
174,58,Female,160,70,Intermediate
175,54,Male,183,117,Advanced
176,34,Male,183,73,Beginner
177,34,Male,174,92,Advanced
178,50,Male,199,89,Intermediate
179,24,Male,191,81,Advanced
180,52,Male,194,95,Intermediate
181,25,Female,152,48,Beginner
182,28,Male,196,100,Advanced
183,31,Male,162,120,Beginner
184,45,Female,166,66,Intermediate
